,Image,F1,Jaccard,Recall,Precision
510,1477.png,0.884210526,0.79245283,0.985915493,0.801526718
511,2590.png,0.777292576,0.635714286,0.635714286,1
512,1461.png,0.750442478,0.600566572,0.684975767,0.829745597
513,1145.png,0.925233645,0.860869565,0.888689408,0.964912281
514,1312.png,0.937853107,0.882978723,0.958745875,0.917851501
515,763.png,0.941451991,0.889380531,0.990147783,0.897321429
516,2160.png,0.88209607,0.7890625,0.872839506,0.891551072
517,2468.png,0.348341232,0.210903874,0.213662791,0.942307692
518,2312.png,0.915590267,0.84432133,0.855218855,0.985132515
519,1707.png,0.928982726,0.867383513,0.958415842,0.901303538
520,248.png,0.948136143,0.901386749,0.968543046,0.928571429
521,441.png,0.951445717,0.907388137,0.981981982,0.922751323
522,2853.png,0.835709857,0.717784878,0.734204793,0.969784173
523,793.png,0.755896873,0.607583774,0.61793722,0.973163842
524,716.png,0.560173997,0.38905673,0.41735686,0.851579721
525,896.png,0.877659574,0.781990521,0.783227848,0.997983871
526,1251.png,0.972136223,0.945783133,0.98125,0.963190184
527,1071.png,0.929577465,0.868421053,0.9,0.961165049
528,1714.png,0.868525896,0.767605634,0.816479401,0.927659574
529,2818.png,0.890186916,0.802105263,0.997382199,0.803797468
530,2230.png,0,0,0,0
531,1665.png,0,0,0,0
532,2822.png,0.863795111,0.760245902,0.953727506,0.789361702
533,2854.png,0.929031023,0.12932526,0.911585366,0.130968025
534,2015.png,0.783925131,0.644635582,0.997897687,0.645512239
535,2685.png,0.833136095,0.713995943,0.713995943,1
536,1309.png,0.921248143,0.85399449,0.977917981,0.870786517
537,589.png,0.609735269,0.438574939,0.442379182,0.980769231
538,922.png,0.916530278,0.84592145,0.974477958,0.865087539
539,2279.png,0.808577406,0.678665496,0.759332024,0.864653244
540,2415.png,0,0,0,0
541,1789.png,0.857142857,0.75,0.75,1
542,1276.png,0.976664769,0.954393771,0.971687429,0.981693364
543,1991.png,0.725995316,0.569852941,0.954433498,0.585789872
544,215.png,0.916886228,0.846528085,0.917105894,0.916666667
545,663.png,0.966666667,0.935483871,0.935483871,1
546,2611.png,0,0,0,0
547,1149.png,0.928571429,0.866666667,0.873385013,0.991202346
548,2660.png,0.912228057,0.83862069,0.963549921,0.866096866
549,251.png,0.9375,0.882352941,0.934065934,0.94095941
550,1231.png,0.741532977,0.589235127,0.904347826,0.628398792
551,2675.png,0.700276243,0.538788523,0.78,0.635338346
552,1879.png,0.749362787,0.599184783,0.605769231,0.982182628
553,1345.png,0.875675676,0.778846154,0.778846154,1
